nature_libelle,records
Avis de marché,155167
Résultat de marché,60949
Rectificatif,9033
Avis d'intention de conclure,419
Avis informatif,393
Modification,252
Avis d'annulation,65
Avis en cas de transparence ex ante volontaire,20
Périodique,10
Autre,5
