statistic,days_to_deadline
count,716617.0
mean,31.98493853075296
std,12.189239425301421
min,-28.541666666666668
1%,12.416666666666666
5%,17.458333333333332
25%,23.666666666666668
50%,29.666666666666668
75%,36.479166666666664
95%,54.625
99%,72.45833333333333
max,364.625
