nomacheteur,records
Conseil général de Loire-Atlantique,224
CHU Rennes,223
Conseil départemental de la Mayenne,223
Conseil Régional de Haute-Normandie,220
Conseil départemental Loire Atlantique,220
DREAL Pays de la Loire,216
Mairie de Coueron,215
Ville de Noirmoutier,213
HABITAT 76,213
SDIS d'Ille-et-Vilaine,212
Commune de Cherbourg-en-Cotentin,212
Vendée Eau (85),212
Ville de Sotteville-lès-Rouen,211
Conseil Départemental de la Mayenne,211
Cté de Cnes du pays de Landerneau,210
Ville de Brest,210
Commune de la hague,210
COMMUNE LES SABLES D OLONNE,208
SETOM,207
CA SAUMUR VAL DE LOIRE,207
CDC du Pays de Saint Gilles Cx de Vie,206
SA HLM LES FOYERS,206
Communauté de communes de La Hague,205
SDIS 29,205
MINARM/DGA/DO/S2A,204
Commune d'Argentan,199
Rouen Habitat,197
COMMUNE DE LE GRAND QUEVILLY,197
Conseil Départemental du Calvados (14),196
BREST'AIM,195
CD 44,195
DIR Ouest,194
SEMBREIZH,194
Voies navigables de France,193
université de Rennes 1,191
Mairie de FECAMP,191
CHU NANTES,190
Région des Pays de la Loire,190
Ville de Deauville,189
Angers Loire Metropole (49),189
SMEDAR,187
Ville de Lisieux,184
CMAR Pays de La Loire,184
COMMUNAUTE D AGGLOMERATION SEINE EURE,184
Ville de Dieppe,183
Syndicat Mixte du Port de Dieppe,183
CHU d'Angers,182
COMMUNE DE VIRE NORMANDIE,182
Ville de Gisors,181
ESTM/EPA/ENSTA Bretagne,181
Ville de Barentin,180
ADEME,177
Centre Hospitalier Bretagne Atlantique,176
Cté d'Agglomération du Choletais,176
INST NATIO SCIENCES APPLIQUEES ROUEN,176
HOPITAL MEMORIAL FRANCE ETATS UNIS,175
Institut Mines-Télécom Atlantique,174
Ville de Gonfreville l'Orcher,173
"SEMITAN, mandataire de la CUN",173
Grand Evreux Agglomération,172
Intercom Bernay Terres de Normandie,169
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,168
COMMUNE DE BARENTIN,168
UGECAM Bretagne - Pays de la Loire,167
VILLE DE DIEPPE,167
COMMUNE DE CESSON SEVIGNE,167
Communauté d'agglomération Evreux Portes Normandie,167
Guingamp-Paimpol Agglomération,166
ANSES,165
Ville de Bolbec,163
I.F.C.E.,162
SMPBR,162
Mairie de Saint-Gilles-Croix-de-Vie,160
VENDEE,160
COMMUNE DE REZE,160
Cté d'agglo. de la Région Dieppoise,159
MAINE LOIRE HABITAT OFFICE PUB HABITAT,159
CCI de Rouen,158
COMMUNE DE OISSEL,158
Centre Hospitalier de Cholet,157
SDIS 76,157
Établissement Public Foncier de Bretagne,156
Syndicat Mixte Manche Numérique,155
CENTRE HOSPITALIER BROUSSAIS,155
INRA,153
ALTER Public,153
Le Logement Familial de l'Eure,152
Grand port fluvio maritime de l'axe Seine - Direction territoriale du Havre,152
Ville d'Allonnes,151
Agglo-Pays-Dreux,151
CAP ATLANTIQUE,151
CC Océan Marais de Monts,150
Commune de Saint Jean de Monts,150
Conseil Général du Morbihan,149
Communauté d'agglomération du Niortais,149
MAIRIE,148
Communauté d'agglomération Caen la mer,147
Syndicat mixte mégalis bretagne,147
CC DE PONT AUDEMER VAL DE RISLE,147
Syndicat Départemental de l'eau Manche,147
Habitat 76,146
DEPARTEMENT DE L EURE,146
SDIS 22,145
Centre Hospitalier de Cornouaille,144
CCI NORMANDIE,144
Centre Hospitalier de Bretagne Sud,143
CU AGL HAVRAISE CANT CRIQUETOT ESNEVAL,143
Etablissement public foncier Bretagne,143
Ville du Tréport,142
SYND DESTRUCTION ORDURES MENAGERES OUE,142
Ports de Normandie,142
REGION NORMANDIE - DIRECTION DES BATIMENTS REGIONAUX,141
CHG de Saint-Brieuc,140
Mairie de Cesson-Sévigné,140
Ville de Maromme,140
CENTRE HOSPITALIER DE LAVAL,140
CCI de Cherbourg-Cotentin,139
Commune de Saint-Avé,138
Centre Hospitalier Public du Cotentin,138
Communauté Urbaine d'Alençon,138
Etablissement Public Foncier Bretagne,138
CA QUIMPERLE COMMUNAUTE,138
SDIS 50,137
Clisson Sèvre et Maine Agglo,137
Comcom Estuaire et Sillon,137
Commune de la Hague,137
VILLE DE SAINT NAZAIRE,137
syndicat départemental d'énergie du 76,136
Cté de Communes d'Erdre et Gesvres,136
Communauté de communes de sablé,136
CC DE GRANVILLE TERRE ET MER,136
Ville de Landerneau,135
ComCom des Vallées du Haut-Anjou,135
Université de Rouen Normandie,135
