year,records,grand_ouest_records,grand_ouest_share_of_france
2015,144480,18462,0.12778239202657807
2016,156034,20349,0.13041388415345373
2017,156366,20416,0.130565468196411
2018,156060,20865,0.13369857747020378
2019,158839,21601,0.13599304956591265
2020,134138,19172,0.14292743294219387
2021,145161,20827,0.14347517583924058
2022,146286,21349,0.145940144648155
2023,149300,22012,0.14743469524447422
2024,136625,20507,0.15009698078682526
2025,137423,20754,0.15102275456073583
