procedure_libelle,records
Procédure Ouverte,795566
Procédure Adaptée,597788
Procédure NC,142272
Procédure Négociée,51468
Procédure Restreinte,28366
Procédure Dialogue compétitif,3743
Procédure Concours restreint,1109
Procédure Concours ouvert,314
Procédure Partenariat innovation,86
