metric,value
Definition,Grand Ouest: Bretagne + Pays de la Loire + Normandie
Departments,"14, 22, 27, 29, 35, 44, 49, 50, 53, 56, 61, 72, 76, 85"
Grand Ouest records,"226,314"
France records,"1,620,712"
Grand Ouest share of France,14.0%
