year,records,share
2015,144480,0.08914600496571877
2016,156034,0.09627497050678961
2017,156366,0.09647981874632877
2018,156060,0.09629101283880172
2019,158839,0.09800569132578768
2020,134138,0.08276485890151983
2021,145161,0.08956619066188194
2022,146286,0.09026033002779026
2023,149300,0.09212000651565484
2024,136625,0.08429936965975447
2025,137423,0.08479174584997211
